nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
cabo frio,Rio de Janeiro,Não,0.0
piraí,Rio de Janeiro,Não,0.0
são bento do trairí,Rio Grande do Norte,Não,0.0
porto do mangue,Rio Grande do Norte,Não,0.0
gaurama,Rio Grande do Sul,Não,0.0
gramado xavier,Rio Grande do Sul,Não,0.0
gramado dos loureiros,Rio Grande do Sul,Não,0.0
gramado,Rio Grande do Sul,Não,0.0
glorinha,Rio Grande do Sul,Não,0.0
giruá,Rio Grande do Sul,Não,0.0
getúlio vargas,Rio Grande do Sul,Não,0.0
gentil,Rio Grande do Sul,Não,0.0
general câmara,Rio Grande do Sul,Não,0.0
garruchos,Rio Grande do Sul,Não,0.0
guabiju,Rio Grande do Sul,Não,0.0
frederico westphalen,Rio Grande do Sul,Não,0.0
fortaleza dos valos,Rio Grande do Sul,Não,0.0
forquetinha,Rio Grande do Sul,Não,0.0
formigueiro,Rio Grande do Sul,Não,0.0
fontoura xavier,Rio Grande do Sul,Não,0.0
floriano peixoto,Rio Grande do Sul,Não,0.0
feliz,Rio Grande do Sul,Não,0.0
fazenda vilanova,Rio Grande do Sul,Não,0.0
gravataí,Rio Grande do Sul,Não,0.0
guaíba,Rio Grande do Sul,Não,0.0
faxinal do soturno,Rio Grande do Sul,Não,0.0
ibiraiaras,Rio Grande do Sul,Não,0.0
inhacorá,Rio Grande do Sul,Não,0.0
independência,Rio Grande do Sul,Não,0.0
imigrante,Rio Grande do Sul,Não,0.0
imbé,Rio Grande do Sul,Não,0.0
ilópolis,Rio Grande do Sul,Não,0.0
igrejinha,Rio Grande do Sul,Não,0.0
ibirubá,Rio Grande do Sul,Não,0.0
ibirapuitã,Rio Grande do Sul,Não,0.0
ibiaçá,Rio Grande do Sul,Não,0.0
guaporé,Rio Grande do Sul,Não,0.0
ibarama,Rio Grande do Sul,Não,0.0
humaitá,Rio Grande do Sul,Não,0.0
hulha negra,Rio Grande do Sul,Não,0.0
horizontina,Rio Grande do Sul,Não,0.0
herveiras,Rio Grande do Sul,Não,0.0
herval,Rio Grande do Sul,Não,0.0
harmonia,Rio Grande do Sul,Não,0.0
guarani das missões,Rio Grande do Sul,Não,0.0
faxinalzinho,Rio Grande do Sul,Não,0.0
farroupilha,Rio Grande do Sul,Não,0.0
coronel pilar,Rio Grande do Sul,Não,0.0
dezesseis de novembro,Rio Grande do Sul,Não,0.0
dona francisca,Rio Grande do Sul,Não,0.0
dom pedro de alcântara,Rio Grande do Sul,Não,0.0
dom pedrito,Rio Grande do Sul,Não,0.0
dom feliciano,Rio Grande do Sul,Não,0.0
dois lajeados,Rio Grande do Sul,Não,0.0
dois irmãos das missões,Rio Grande do Sul,Não,0.0
dois irmãos,Rio Grande do Sul,Não,0.0
dilermando de aguiar,Rio Grande do Sul,Não,0.0
derrubadas,Rio Grande do Sul,Não,0.0
doutor ricardo,Rio Grande do Sul,Não,0.0
david canabarro,Rio Grande do Sul,Não,0.0
cruzeiro do sul,Rio Grande do Sul,Não,0.0
cruzaltense,Rio Grande do Sul,Não,0.0
cruz alta,Rio Grande do Sul,Não,0.0
cristal do sul,Rio Grande do Sul,Não,0.0
cristal,Rio Grande do Sul,Não,0.0
crissiumal,Rio Grande do Sul,Não,0.0
coxilha,Rio Grande do Sul,Não,0.0
doutor maurício cardoso,Rio Grande do Sul,Não,0.0
eldorado do sul,Rio Grande do Sul,Não,0.0
fagundes varela,Rio Grande do Sul,Não,0.0
esmeralda,Rio Grande do Sul,Não,0.0
eugênio de castro,Rio Grande do Sul,Não,0.0
estrela velha,Rio Grande do Sul,Não,0.0
estrela,Rio Grande do Sul,Não,0.0
esteio,Rio Grande do Sul,Não,0.0
estância velha,Rio Grande do Sul,Não,0.0
estação,Rio Grande do Sul,Não,0.0
espumoso,Rio Grande do Sul,Não,0.0
esperança do sul,Rio Grande do Sul,Não,0.0
erval seco,Rio Grande do Sul,Não,0.0
encantado,Rio Grande do Sul,Não,0.0
erval grande,Rio Grande do Sul,Não,0.0
ernestina,Rio Grande do Sul,Não,0.0
erechim,Rio Grande do Sul,Não,0.0
erebango,Rio Grande do Sul,Não,0.0
entre-ijuís,Rio Grande do Sul,Não,0.0
entre rios do sul,Rio Grande do Sul,Não,0.0
engenho velho,Rio Grande do Sul,Não,0.0
encruzilhada do sul,Rio Grande do Sul,Não,0.0
ipê,Rio Grande do Sul,Não,0.0
ipiranga do sul,Rio Grande do Sul,Não,0.0
iraí,Rio Grande do Sul,Não,0.0
mostardas,Rio Grande do Sul,Não,0.0
nova araçá,Rio Grande do Sul,Não,0.0
nova alvorada,Rio Grande do Sul,Não,0.0
nonoai,Rio Grande do Sul,Não,0.0
nicolau vergueiro,Rio Grande do Sul,Não,0.0
não-me-toque,Rio Grande do Sul,Não,0.0
muliterno,Rio Grande do Sul,Não,0.0
muitos capões,Rio Grande do Sul,Não,0.0
muçum,Rio Grande do Sul,Não,0.0
morro reuter,Rio Grande do Sul,Não,0.0
nova boa vista,Rio Grande do Sul,Não,0.0
morro redondo,Rio Grande do Sul,Não,0.0
morrinhos do sul,Rio Grande do Sul,Não,0.0
mormaço,Rio Grande do Sul,Não,0.0
montenegro,Rio Grande do Sul,Não,0.0
monte belo do sul,Rio Grande do Sul,Não,0.0
monte alegre dos campos,Rio Grande do Sul,Não,0.0
montauri,Rio Grande do Sul,Não,0.0
miraguaí,Rio Grande do Sul,Não,0.0
nova bassano,Rio Grande do Sul,Não,0.0
nova bréscia,Rio Grande do Sul,Não,0.0
itaara,Rio Grande do Sul,Não,0.0
novo barreiro,Rio Grande do Sul,Não,0.0
palmares do sul,Rio Grande do Sul,Não,0.0
paim filho,Rio Grande do Sul,Não,0.0
osório,Rio Grande do Sul,Não,0.0
novo xingu,Rio Grande do Sul,Não,0.0
novo tiradentes,Rio Grande do Sul,Não,0.0
novo machado,Rio Grande do Sul,Não,0.0
novo hamburgo,Rio Grande do Sul,Não,0.0
novo cabrais,Rio Grande do Sul,Não,0.0
nova santa rita,Rio Grande do Sul,Não,0.0
nova candelária,Rio Grande do Sul,Não,0.0
nova roma do sul,Rio Grande do Sul,Não,0.0
nova ramada,Rio Grande do Sul,Não,0.0
nova prata,Rio Grande do Sul,Não,0.0
nova petrópolis,Rio Grande do Sul,Não,0.0
nova palma,Rio Grande do Sul,Não,0.0
nova pádua,Rio Grande do Sul,Não,0.0
nova hartz,Rio Grande do Sul,Não,0.0
nova esperança do sul,Rio Grande do Sul,Não,0.0
minas do leão,Rio Grande do Sul,Não,0.0
maximiliano de almeida,Rio Grande do Sul,Não,0.0
mato queimado,Rio Grande do Sul,Não,0.0
jacutinga,Rio Grande do Sul,Não,0.0
lagoa dos três cantos,Rio Grande do Sul,Não,0.0
lagoa bonita do sul,Rio Grande do Sul,Não,0.0
júlio de castilhos,Rio Grande do Sul,Não,0.0
jóia,Rio Grande do Sul,Não,0.0
jari,Rio Grande do Sul,Não,0.0
jaquirana,Rio Grande do Sul,Não,0.0
jaguari,Rio Grande do Sul,Não,0.0
jaguarão,Rio Grande do Sul,Não,0.0
jacuizinho,Rio Grande do Sul,Não,0.0
mato leitão,Rio Grande do Sul,Não,0.0
jaboticaba,Rio Grande do Sul,Não,0.0
ivoti,Rio Grande do Sul,Não,0.0
ivorá,Rio Grande do Sul,Não,0.0
itatiba do sul,Rio Grande do Sul,Não,0.0
itati,Rio Grande do Sul,Não,0.0
itaqui,Rio Grande do Sul,Não,0.0
itapuca,Rio Grande do Sul,Não,0.0
itacurubi,Rio Grande do Sul,Não,0.0
lagoa vermelha,Rio Grande do Sul,Não,0.0
lagoão,Rio Grande do Sul,Não,0.0
lajeado,Rio Grande do Sul,Não,0.0
lajeado do bugre,Rio Grande do Sul,Não,0.0
mato castelhano,Rio Grande do Sul,Não,0.0
mata,Rio Grande do Sul,Não,0.0
marques de souza,Rio Grande do Sul,Não,0.0
mariano moro,Rio Grande do Sul,Não,0.0
mariana pimentel,Rio Grande do Sul,Não,0.0
marcelino ramos,Rio Grande do Sul,Não,0.0
marau,Rio Grande do Sul,Não,0.0
maratá,Rio Grande do Sul,Não,0.0
maquiné,Rio Grande do Sul,Não,0.0
manoel viana,Rio Grande do Sul,Não,0.0
mampituba,Rio Grande do Sul,Não,0.0
machadinho,Rio Grande do Sul,Não,0.0
maçambará,Rio Grande do Sul,Não,0.0
linha nova,Rio Grande do Sul,Não,0.0
lindolfo collor,Rio Grande do Sul,Não,0.0
liberato salzano,Rio Grande do Sul,Não,0.0
lavras do sul,Rio Grande do Sul,Não,0.0
cotiporã,Rio Grande do Sul,Não,0.0
coronel bicaco,Rio Grande do Sul,Não,0.0
presidente juscelino,Rio Grande do Norte,Não,0.0
vera cruz,Rio Grande do Norte,Não,0.0
alegrete,Rio Grande do Sul,Não,0.0
alecrim,Rio Grande do Sul,Não,0.0
ajuricaba,Rio Grande do Sul,Não,0.0
agudo,Rio Grande do Sul,Não,0.0
água santa,Rio Grande do Sul,Não,0.0
aceguá,Rio Grande do Sul,Não,0.0
vila flor,Rio Grande do Norte,Não,0.0
viçosa,Rio Grande do Norte,Não,0.0
venha-ver,Rio Grande do Norte,Não,0.0
almirante tamandaré do sul,Rio Grande do Sul,Não,0.0
várzea,Rio Grande do Norte,Não,0.0
upanema,Rio Grande do Norte,Não,0.0
umarizal,Rio Grande do Norte,Não,0.0
triunfo potiguar,Rio Grande do Norte,Não,0.0
touros,Rio Grande do Norte,Não,0.0
timbaúba dos batistas,Rio Grande do Norte,Não,0.0
tibau do sul,Rio Grande do Norte,Não,0.0
tibau,Rio Grande do Norte,Não,0.0
alegria,Rio Grande do Sul,Não,0.0
